trade_date,code,name,close,pct_chg,amount,turnover_rate,body_abs,prev_body_abs,body_wins_prev,volume_wins_prev,bullish_dual_win,bearish_dual_win,bullish_reversal_dual_win,bullish_continuation_dual_win,bearish_reversal_dual_win,bearish_continuation_dual_win,fire_k,fire_k_dual_win,fire_k_volume_expanded,attack_k,days_since_attack,retains_attack_close,center_not_falling_5d,volume_contracting_5d,range_contracting_5d,pre_ignition_window,ret_5d,prior_ret_5d,delta_net_displacement_5d,ret_10d,path_efficiency_5d,prior_path_efficiency_5d,delta_path_efficiency_5d,path_efficiency_10d,volume_intensity_5d,prior_volume_intensity_5d,delta_volume_intensity_5d,vp_conversion_efficiency_5d,prior_vp_conversion_efficiency_5d,delta_vp_conversion_efficiency_5d,near_or_breaks_20d_high,price_efficiency_improving,quiet_rising_efficiency,scan_score
2026-09-03,920799,艾融软件,35.35,-1.532,256326098.0,5.92636,0.3500000000000014,1.8900000000000006,False,False,False,False,False,False,False,False,False,False,False,False,2.0,True,True,False,False,False,0.01434720229555242,0.08668537574056745,-0.07233817344501503,0.10227627065793587,0.10574533778310115,0.37749334018507924,-0.2717480024019781,0.27997032558566104,1.3611188216280972,1.5146340142510462,-0.153515192622949,0.010540741974599298,0.05723189557672221,-0.04669115360212291,True,False,False,2
2026-09-03,688053,ST思科瑞,39.2,-1.582,30181430.0,0.76836,0.6299999999999955,0.5300000000000011,True,True,False,True,False,False,True,False,False,False,False,False,3.0,True,True,False,False,False,0.04644954618259489,0.11157270029673594,-0.06512315411414105,0.16320474777448069,0.5609251537616808,0.9014007462316599,-0.34047559246997905,0.7900093802990183,1.254684680534921,1.257597286947091,-0.00291260641217006,0.03702089210397599,0.08871894163161467,-0.051698049527638686,True,False,False,2
2026-09-03,000592,平潭发展,6.81,-1.59,1260440871.0,9.65263,0.08000000000000007,0.0600000000000005,True,False,False,False,False,False,False,False,False,False,False,False,5.0,True,True,False,False,False,0.0,0.10912052117263848,-0.10912052117263848,0.10912052117263848,0.0,0.5892117388485656,-0.5892117388485656,0.33871882934417974,1.459450997544233,0.8749604340031688,0.5844905635410641,0.0,0.1247148064437429,-0.1247148064437429,False,False,False,2
2026-09-03,300840,酷特智能,19.97,-1.674,160464372.0,4.44671,0.33999999999999986,0.240000000000002,True,True,False,True,False,False,False,True,False,False,False,False,3.0,True,True,False,False,False,0.0320413436692506,0.01735015772870674,0.01469118594054386,0.049947423764458376,0.16551387027079667,0.13721512982099632,0.028298740449800353,0.15607009587010118,1.462085342197003,0.7346445708719553,0.7274407713250477,0.021914824493831298,0.02361707745027463,-0.001702252956443332,False,False,False,2
2026-09-03,300504,天邑股份,17.5,-1.685,112792309.0,2.91207,0.4800000000000004,0.07000000000000028,True,False,False,False,False,False,False,False,False,False,False,False,4.0,True,True,False,False,False,0.06577344701583421,0.10127431254191821,-0.035500865526084,0.1737089201877935,0.5030169440138464,0.7541138157310224,-0.251096871717176,0.6553725338783168,1.2853339125860976,1.1189995802622597,0.16633433232383799,0.0511722645545839,0.09050433470062837,-0.039332070146044465,False,False,False,2
2026-09-03,688552,航天南湖,31.81,-1.851,201767510.0,1.8641,0.26000000000000156,0.5899999999999963,False,False,False,False,False,False,False,False,False,False,False,False,3.0,True,True,False,False,False,0.13323833273957963,0.08086253369272245,0.052375799046857185,0.22487485560261833,0.8032328158069315,0.703527194329551,0.09970562147738049,0.8007897601738441,1.6888048122973316,0.8553090474366638,0.8334957648606678,0.07889504563782689,0.09454188978248868,-0.01564684414466179,True,False,False,2
2026-09-03,000576,甘化科工,8.43,-1.863,330063583.0,8.99161,0.07000000000000028,0.17999999999999972,False,False,False,False,False,False,False,False,False,False,False,False,5.0,True,True,False,False,False,0.053749999999999964,0.12201963534361848,-0.06826963534361852,0.18232819074333806,0.5941445993638301,0.9713850258970698,-0.37724042653323964,0.8437984138196907,2.5702451733487726,1.3518437802992374,1.2184013930495352,0.02091240188186759,0.09026163904575485,-0.06934923716388726,True,False,False,2
2026-09-03,688373,盟科药业,5.74,-1.88,167626562.0,4.38633,0.16000000000000014,0.09999999999999964,True,True,False,True,False,False,True,False,False,False,False,False,5.0,True,True,False,True,False,-0.005199306759098632,0.019434628975264934,-0.024633935734363566,0.014134275618374659,-0.0971736234563124,0.06031684440702751,-0.15749046786333992,0.037619742489335216,1.0144316780729967,1.546805299905093,-0.5323736218320962,-0.005125339509285808,0.012564366683032041,-0.01768970619231785,False,False,False,2
2026-09-03,001288,运机集团,28.56,-1.889,100131796.0,2.29234,0.5500000000000007,0.07000000000000028,True,False,False,False,False,False,False,False,False,False,False,False,4.0,True,True,False,False,False,0.10398144568998835,0.07746772178259054,0.026513723907397813,0.18950437317784252,0.6367588922336755,0.6608486825017019,-0.02408979026802638,0.6755405170635784,1.8033388451025516,0.7713540632475272,1.0319847818550243,0.05766051453523432,0.10043082090789632,-0.042770306372662,False,False,False,2
2026-09-03,002394,联发股份,10.76,-2.004,71776539.0,2.05786,0.22000000000000064,0.07000000000000028,True,True,False,True,False,False,False,True,False,False,False,False,3.0,True,True,False,False,False,0.03660886319845846,0.08237747653806049,-0.04576861333960203,0.1220020855057351,0.40103657179399205,0.6572973548545021,-0.2562607830605101,0.5632256336170471,1.193674786946955,1.4881933538949061,-0.2945185669479511,0.030669042857219452,0.05535401453209141,-0.02468497167487196,False,False,False,2
