trade_date,code,name,close,pct_chg,amount,turnover_rate,attack_k,days_since_attack,retains_attack_close,center_not_falling_5d,volume_contracting_5d,range_contracting_5d,pre_ignition_window,scan_score
2026-08-21,603163,圣晖集成,82.29,-0.688,229523364.0,,False,4.0,False,True,False,False,False,1
2026-08-21,300106,西部牧业,9.87,-0.704,115755611.0,,False,3.0,False,True,False,False,False,1
2026-08-21,300943,春晖智控,30.78,-0.71,287783783.0,,False,4.0,False,True,False,False,False,1
2026-08-21,301158,德石股份,15.35,-0.712,100968838.0,,False,5.0,False,True,False,False,False,1
2026-08-21,603392,万泰生物,30.59,-0.714,629942960.0,,False,1.0,True,False,False,False,False,1
2026-08-21,002553,南方精工,15.3,-0.714,137247527.0,,False,3.0,False,True,False,False,False,1
2026-08-21,688757,胜科纳米,31.94,-0.715,241930744.0,,False,4.0,False,True,False,False,False,1
2026-08-21,603790,雅运股份,24.29,-0.736,82441889.0,,False,4.0,False,True,False,False,False,1
2026-08-21,920725,惠丰钻石,73.95,-0.738,201216684.0,,False,4.0,False,True,False,False,False,1
2026-08-21,300776,帝尔激光,114.0,-0.74,748648696.0,,False,4.0,False,True,False,False,False,1
2026-08-21,300503,昊志机电,69.65,-0.769,912894392.0,,False,3.0,False,True,False,False,False,1
2026-08-21,001287,中电港,22.97,-0.778,516738042.0,,False,4.0,False,True,False,False,False,1
2026-08-21,688630,芯碁微装,429.58,-0.79,2052986537.0,,False,4.0,False,True,False,False,False,1
2026-08-21,603389,亚振家居,45.85,-0.822,121916030.0,,False,4.0,False,True,False,False,False,1
2026-08-21,300054,鼎龙股份,73.84,-0.833,1394117471.0,,False,4.0,False,True,False,False,False,1
2026-08-21,000670,盈方微,7.11,-0.837,264156434.0,,False,4.0,False,True,False,False,False,1
2026-08-21,001358,兴欣新材,25.49,-0.856,60194451.0,,False,4.0,False,True,True,False,False,1
2026-08-21,603995,甬金股份,25.27,-0.863,189099399.0,,False,3.0,False,True,False,False,False,1
2026-08-21,300319,麦捷科技,18.29,-0.867,1903484818.0,,False,5.0,False,True,False,False,False,1
2026-08-21,301092,争光股份,44.45,-0.87,88262968.0,,False,4.0,False,True,True,False,False,1
2026-08-21,688006,杭可科技,22.68,-0.874,214350360.0,,False,3.0,False,True,False,False,False,1
2026-08-21,688728,格科微,15.85,-0.876,366325490.0,,False,4.0,False,True,False,False,False,1
2026-08-21,000926,福星股份,2.26,-0.877,171641191.0,,False,1.0,True,False,False,False,False,1
2026-08-21,688484,南芯科技,36.11,-0.878,249142719.0,,False,4.0,False,True,False,False,False,1
2026-08-21,300797,钢研纳克,14.5,-0.889,113170870.0,,False,3.0,False,True,False,False,False,1
2026-08-21,001230,劲旅环境,21.42,-0.925,97327406.0,,False,4.0,False,True,False,False,False,1
2026-08-21,301210,金杨精密,24.06,-0.947,77303632.0,,False,4.0,False,True,False,False,False,1
2026-08-21,300657,弘信电子,35.03,-0.961,945152109.0,,False,4.0,False,True,False,False,False,1
2026-08-21,300724,捷佳伟创,57.73,-0.995,458243317.0,,False,3.0,False,True,False,False,False,1
2026-08-21,301479,弘景光电,48.28,-1.005,73911493.0,,False,5.0,False,True,False,False,False,1
2026-08-21,688380,中微半导,42.08,-1.012,493282794.0,,False,4.0,False,True,False,False,False,1
2026-08-21,688401,路维光电,68.15,-1.017,270313566.0,,False,5.0,False,True,False,False,False,1
2026-08-21,300700,岱勒新材,19.08,-1.037,142615572.0,,False,5.0,False,True,True,True,False,1
2026-08-21,300886,华业香料,24.54,-1.048,55672405.0,,False,4.0,False,True,False,False,False,1
2026-08-21,300244,迪安诊断,20.65,-1.054,1063225835.0,,False,1.0,True,False,False,False,False,1
2026-08-21,600359,新农开发,6.56,-1.056,100457323.0,,False,3.0,False,True,False,False,False,1
2026-08-21,600965,*ST福成,2.76,-1.075,22898156.0,,False,3.0,False,True,False,False,False,1
2026-08-21,300911,亿田智能,24.39,-1.095,390434891.0,,False,2.0,False,True,False,False,False,1
2026-08-21,603506,南都物业,10.83,-1.096,142842401.0,,False,2.0,False,True,False,False,False,1
2026-08-21,301510,固高科技,26.16,-1.096,127154059.0,,False,4.0,False,True,False,False,False,1
2026-08-21,002937,兴瑞科技,29.7,-1.099,220116146.0,,False,4.0,False,True,False,False,False,1
2026-08-21,601015,陕西黑猫,3.56,-1.111,333542334.0,,False,2.0,False,True,False,False,False,1
